time,.layout.dim,.layout.data_offset,.data
2025/04/18/03:17:34.043298,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:34.043458,[],0,"(41602, -54, -54, -54, -57)"
2025/04/18/03:17:34.043466,[],0,"(41628, -65, -63, -64, -64)"
2025/04/18/03:17:34.043485,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:34.043654,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:34.043670,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:34.043756,[],0,"(41628, -72, -70, -70, -69)"
2025/04/18/03:17:34.043765,[],0,"(41628, -70, -68, -66, -67)"
2025/04/18/03:17:34.043881,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:34.143139,[],0,"(41628, -71, -67, -67, -66)"
2025/04/18/03:17:34.143313,[],0,"(41628, -70, -68, -66, -67)"
2025/04/18/03:17:34.143428,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.143626,[],0,"(41628, -71, -67, -67, -67)"
2025/04/18/03:17:34.143740,[],0,"(41341, -71, -72, -75, -71)"
2025/04/18/03:17:34.143872,[],0,"(41602, -54, -55, -54, -57)"
2025/04/18/03:17:34.143966,[],0,"(41628, -65, -64, -64, -63)"
2025/04/18/03:17:34.143974,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:34.144104,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.144112,[],0,"(41628, -70, -68, -67, -67)"
2025/04/18/03:17:34.144126,[],0,"(41628, -69, -67, -67, -66)"
2025/04/18/03:17:34.144264,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.144276,[],0,"(41628, -69, -68, -66, -67)"
2025/04/18/03:17:34.243336,[],0,"(41628, -72, -67, -68, -66)"
2025/04/18/03:17:34.243439,[],0,"(41628, -70, -68, -66, -67)"
2025/04/18/03:17:34.243735,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:34.243829,[],0,"(41628, -70, -68, -66, -67)"
2025/04/18/03:17:34.243837,[],0,"(41341, -72, -72, -76, -72)"
2025/04/18/03:17:34.244026,[],0,"(41602, -54, -55, -55, -58)"
2025/04/18/03:17:34.244037,[],0,"(41628, -66, -63, -64, -64)"
2025/04/18/03:17:34.244197,[],0,"(41628, -70, -67, -67, -66)"
2025/04/18/03:17:34.244211,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:34.244223,[],0,"(41628, -71, -67, -67, -66)"
2025/04/18/03:17:34.244253,[],0,"(41628, -70, -68, -67, -67)"
2025/04/18/03:17:34.244371,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:34.244379,[],0,"(41628, -70, -67, -66, -67)"
2025/04/18/03:17:34.343138,[],0,"(41628, -71, -66, -67, -67)"
2025/04/18/03:17:34.343289,[],0,"(41628, -70, -68, -67, -67)"
2025/04/18/03:17:34.343428,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.343606,[],0,"(41628, -71, -68, -67, -67)"
2025/04/18/03:17:34.343766,[],0,"(41341, -72, -73, -77, -72)"
2025/04/18/03:17:34.343793,[],0,"(41602, -54, -56, -55, -59)"
2025/04/18/03:17:34.343919,[],0,"(41628, -66, -63, -65, -64)"
2025/04/18/03:17:34.343947,[],0,"(41628, -71, -67, -67, -67)"
2025/04/18/03:17:34.344098,[],0,"(41628, -71, -68, -67, -67)"
2025/04/18/03:17:34.344111,[],0,"(41628, -69, -67, -67, -67)"
2025/04/18/03:17:34.344134,[],0,"(41628, -70, -68, -66, -67)"
2025/04/18/03:17:34.344145,[],0,"(41628, -71, -68, -68, -67)"
2025/04/18/03:17:34.344274,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.443218,[],0,"(41628, -71, -68, -68, -68)"
2025/04/18/03:17:34.443392,[],0,"(41628, -71, -67, -67, -67)"
2025/04/18/03:17:34.443439,[],0,"(41628, -71, -68, -67, -67)"
2025/04/18/03:17:34.443572,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.443580,[],0,"(41341, -70, -70, -76, -71)"
2025/04/18/03:17:34.443609,[],0,"(41602, -56, -56, -55, -58)"
2025/04/18/03:17:34.443701,[],0,"(41628, -67, -63, -64, -64)"
2025/04/18/03:17:34.443755,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.443791,[],0,"(41628, -71, -68, -67, -67)"
2025/04/18/03:17:34.443801,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.443810,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.443823,[],0,"(41628, -71, -69, -68, -67)"
2025/04/18/03:17:34.443927,[],0,"(41628, -68, -65, -64, -65)"
2025/04/18/03:17:34.443936,[],0,"(41628, -70, -67, -68, -66)"
2025/04/18/03:17:34.543127,[],0,"(41628, -70, -67, -66, -68)"
2025/04/18/03:17:34.543267,[],0,"(41628, -71, -68, -68, -67)"
2025/04/18/03:17:34.543367,[],0,"(41628, -69, -66, -67, -66)"
2025/04/18/03:17:34.543488,[],0,"(41628, -69, -67, -66, -67)"
2025/04/18/03:17:34.543769,[],0,"(41341, -72, -71, -74, -71)"
2025/04/18/03:17:34.543864,[],0,"(41602, -55, -56, -56, -57)"
2025/04/18/03:17:34.543988,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.544004,[],0,"(41628, -66, -64, -63, -64)"
2025/04/18/03:17:34.544007,[],0,"(41628, -70, -69, -68, -67)"
2025/04/18/03:17:34.544012,[],0,"(41628, -70, -67, -67, -67)"
2025/04/18/03:17:34.544108,[],0,"(41628, -71, -70, -69, -70)"
2025/04/18/03:17:34.544118,[],0,"(41628, -69, -68, -67, -67)"
2025/04/18/03:17:34.544222,[],0,"(41628, -71, -68, -68, -67)"
2025/04/18/03:17:34.643185,[],0,"(41628, -71, -67, -66, -67)"
2025/04/18/03:17:34.643346,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.643483,[],0,"(41628, -70, -69, -67, -67)"
2025/04/18/03:17:34.643634,[],0,"(41628, -71, -69, -69, -68)"
2025/04/18/03:17:34.643741,[],0,"(41341, -70, -69, -72, -70)"
2025/04/18/03:17:34.643750,[],0,"(41602, -55, -57, -56, -58)"
2025/04/18/03:17:34.643757,[],0,"(41628, -71, -66, -67, -67)"
2025/04/18/03:17:34.643780,[],0,"(41628, -68, -64, -64, -65)"
2025/04/18/03:17:34.643879,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.643885,[],0,"(41341, -69, -70, -74, -71)"
2025/04/18/03:17:34.643903,[],0,"(41628, -70, -67, -67, -68)"
2025/04/18/03:17:34.644041,[],0,"(41628, -71, -69, -67, -68)"
2025/04/18/03:17:34.644066,[],0,"(41628, -72, -69, -68, -68)"
2025/04/18/03:17:34.644077,[],0,"(41628, -72, -68, -67, -68)"
2025/04/18/03:17:34.743087,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.743438,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.743588,[],0,"(41628, -70, -68, -68, -68)"
2025/04/18/03:17:34.743742,[],0,"(41628, -71, -68, -68, -68)"
2025/04/18/03:17:34.743752,[],0,"(41341, -69, -70, -74, -70)"
2025/04/18/03:17:34.743782,[],0,"(41602, -57, -57, -56, -61)"
2025/04/18/03:17:34.743909,[],0,"(41628, -71, -68, -68, -68)"
2025/04/18/03:17:34.743925,[],0,"(41628, -67, -64, -65, -64)"
2025/04/18/03:17:34.744082,[],0,"(41628, -71, -69, -68, -67)"
2025/04/18/03:17:34.744107,[],0,"(41628, -70, -68, -67, -67)"
2025/04/18/03:17:34.744257,[],0,"(41628, -70, -68, -66, -67)"
2025/04/18/03:17:34.744274,[],0,"(41628, -70, -66, -67, -66)"
2025/04/18/03:17:34.744286,[],0,"(41628, -72, -68, -67, -68)"
2025/04/18/03:17:34.843225,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.843426,[],0,"(41628, -71, -68, -67, -67)"
2025/04/18/03:17:34.843451,[],0,"(41628, -71, -68, -67, -68)"
2025/04/18/03:17:34.843478,[],0,"(41628, -71, -68, -67, -68)"
